item_id,pack_id,title,rights_class,render_mode,format,body_asset_path,external_url,rights_reviewed_at,content_reviewed_at,release_status,approval_basis,notes
s9-1-r01-dewey-how-we-think,attention_practical_agency_v1,How We Think,RENDERABLE,IN_APP_READER,MARKDOWN,editorial/items/s9_1_r01_dewey_how_we_think.md,,2026-04-26,2026-04-26,approved_in_app_reader,Project Gutenberg public-domain source reviewed; self-contained excerpt selected; attribution and source policy retained; no summary or paraphrase.,Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-1-r02-bennett-24-hours,attention_practical_agency_v1,How to Use the Next Hour,RENDERABLE,IN_APP_READER,MARKDOWN,editorial/items/s9_1_r02_bennett_24_hours.md,,2026-04-26,2026-04-26,approved_in_app_reader,Project Gutenberg public-domain source reviewed; self-contained excerpt selected; attribution and source policy retained; no summary or paraphrase.,Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-1-r03-betts-mind-education,attention_practical_agency_v1,Attention Can Be Trained,RENDERABLE,IN_APP_READER,MARKDOWN,editorial/items/s9_1_r03_betts_mind_education.md,,2026-04-26,2026-04-26,approved_in_app_reader,Project Gutenberg public-domain source reviewed; self-contained excerpt selected; attribution and source policy retained; no summary or paraphrase.,Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-1-r04-smiles-character-agency,attention_practical_agency_v1,Conduct Is Practice,RENDERABLE,IN_APP_READER,MARKDOWN,editorial/items/s9_1_r04_smiles_character_agency.md,,2026-04-26,2026-04-26,approved_in_app_reader,Project Gutenberg public-domain source reviewed; self-contained excerpt selected; attribution and source policy retained; no summary or paraphrase.,Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-1-r05-aristotle-habit-character,attention_practical_agency_v1,Habit and Character,RENDERABLE,IN_APP_READER,MARKDOWN,editorial/items/s9_1_r05_aristotle_habit_character.md,,2026-04-26,2026-04-26,approved_in_app_reader,Project Gutenberg public-domain source reviewed; self-contained excerpt selected; attribution and source policy retained; no summary or paraphrase.,Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-1-r06-emerson-conduct-life,attention_practical_agency_v1,Conduct and Choice,RENDERABLE,IN_APP_READER,MARKDOWN,editorial/items/s9_1_r06_emerson_conduct_life.md,,2026-04-26,2026-04-26,approved_in_app_reader,Project Gutenberg public-domain source reviewed; self-contained excerpt selected; attribution and source policy retained; no summary or paraphrase.,Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-1-r07-call-power-through-repose,attention_practical_agency_v1,Repose Before Action,RENDERABLE,IN_APP_READER,MARKDOWN,editorial/items/s9_1_r07_call_power_through_repose.md,,2026-04-26,2026-04-26,approved_in_app_reader,Project Gutenberg public-domain source reviewed; self-contained excerpt selected; attribution and source policy retained; no summary or paraphrase.,Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-1-r08-whitehead-organisation-thought,attention_practical_agency_v1,Organise the Thought,RENDERABLE,IN_APP_READER,MARKDOWN,editorial/items/s9_1_r08_whitehead_organisation_thought.md,,2026-04-26,2026-04-26,approved_in_app_reader,Project Gutenberg public-domain source reviewed; self-contained excerpt selected; attribution and source policy retained; no summary or paraphrase.,Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-1-r09-mason-home-education-attention,attention_practical_agency_v1,Will and Attention,RENDERABLE,IN_APP_READER,MARKDOWN,editorial/items/s9_1_r09_mason_home_education_attention.md,,2026-04-26,2026-04-26,approved_in_app_reader,Project Gutenberg public-domain source reviewed; self-contained excerpt selected; attribution and source policy retained; no summary or paraphrase.,Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-1-l01-aeon-students-devices-learn,attention_practical_agency_v1,Can Device-Heavy Students Learn?,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://aeon.co/essays/can-students-who-are-constantly-on-their-devices-actually-learn,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
